tmdb_id,title,year,genres
962,The Gold Rush,1925,"['Adventure', 'Comedy', 'Drama']"
80656,Nashville Girl,1976,"['Drama', 'Music']"
3063,Duck Soup,1933,"['Comedy', 'War']"
16305,Sullivan's Travels,1941,"['Adventure', 'Comedy', 'Romance']"
838,American Graffiti,1973,"['Comedy', 'Drama']"
10784,Cabaret,1972,"['Music', 'Drama', 'Romance']"
37799,The Social Network,2010,['Drama']
488,The African Queen,1952,"['Adventure', 'Romance']"
85,Raiders of the Lost Ark,1981,"['Adventure', 'Action']"
396,Who's Afraid of Virginia Woolf?,1966,['Drama']
33,Unforgiven,1992,['Western']
9576,Tootsie,1982,"['Comedy', 'Romance']"
185,A Clockwork Orange,1971,"['Science Fiction', 'Drama']"
857,Saving Private Ryan,1998,"['Drama', 'History', 'War']"
278,The Shawshank Redemption,1994,"['Drama', 'Crime']"
642,Butch Cassidy and the Sundance Kid,1969,"['Western', 'Drama', 'Crime']"
274,The Silence of the Lambs,1991,"['Crime', 'Drama', 'Thriller']"
10633,In the Heat of the Night,1967,"['Crime', 'Drama', 'Mystery', 'Thriller']"
13,Forrest Gump,1994,"['Comedy', 'Drama', 'Romance']"
891,All the President's Men,1976,"['Drama', 'History', 'Mystery', 'Thriller']"
3082,Modern Times,1936,"['Comedy', 'Drama']"
10755,The Wild Soccer Bunch,2003,"['Comedy', 'Family']"
12531,The Apartment,1996,"['Mystery', 'Drama', 'Romance']"
1098340,Spartacus,2023,[]
631,Sunrise: A Song of Two Humans,1927,"['Drama', 'Romance']"
597,Titanic,1997,"['Drama', 'Romance']"
624,Easy Rider,1969,"['Adventure', 'Drama']"
37719,A Night at the Opera,1935,"['Comedy', 'Music']"
792,Platoon,1986,"['Drama', 'War', 'Action']"
389,12 Angry Men,1957,['Drama']
900,Bringing Up Baby,1938,"['Comedy', 'Romance']"
745,The Sixth Sense,1999,"['Mystery', 'Thriller', 'Drama']"
20325,Swing Time,1936,"['Comedy', 'Music', 'Romance']"
15764,Sophie's Choice,1982,"['Drama', 'Romance', 'War']"
769,GoodFellas,1990,"['Drama', 'Crime']"
1051,The French Connection,1971,"['Action', 'Crime', 'Thriller']"
680,Pulp Fiction,1994,"['Thriller', 'Crime']"
25188,The Last Picture Show,1971,['Drama']
925,Do the Right Thing,1989,['Drama']
335984,Blade Runner 2049,2017,"['Science Fiction', 'Drama']"
3087,Yankee Doodle Dandy,1942,"['Drama', 'Music']"
862,Toy Story,1995,"['Animation', 'Adventure', 'Family', 'Comedy']"
665,Ben-Hur,1959,"['Action', 'Drama', 'History', 'Adventure']"
